passengerCount,WIFIAPTag,slice10min
1.8,EC-1D-8<EC-2-09>,2016-09-25-16-0
1.7,EC-1D-8<EC-2-09>,2016-09-25-16-1
1.5,EC-1D-8<EC-2-09>,2016-09-25-16-2
1.6,EC-1D-8<EC-2-09>,2016-09-25-16-3
1.5,EC-1D-8<EC-2-09>,2016-09-25-16-4
1.4,EC-1D-8<EC-2-09>,2016-09-25-16-5
1.5,EC-1D-8<EC-2-09>,2016-09-25-17-0
1.6,EC-1D-8<EC-2-09>,2016-09-25-17-1
1.5,EC-1D-8<EC-2-09>,2016-09-25-17-2
1.7,EC-1D-8<EC-2-09>,2016-09-25-17-3
1.7,EC-1D-8<EC-2-09>,2016-09-25-17-4
1.8,EC-1D-8<EC-2-09>,2016-09-25-17-5
2.5,EC-1D-9<EC-2-08>,2016-09-25-15-0
2.4,EC-1D-9<EC-2-08>,2016-09-25-15-1
2.4,EC-1D-9<EC-2-08>,2016-09-25-15-2
2.2,EC-1D-9<EC-2-08>,2016-09-25-15-3
2.7,EC-1D-9<EC-2-08>,2016-09-25-15-4
2.9,EC-1D-9<EC-2-08>,2016-09-25-15-5
2.6,EC-1D-9<EC-2-08>,2016-09-25-16-0
2.2,EC-1D-9<EC-2-08>,2016-09-25-16-1
2.0,EC-1D-9<EC-2-08>,2016-09-25-16-2
2.1,EC-1D-9<EC-2-08>,2016-09-25-16-3
2.1,EC-1D-9<EC-2-08>,2016-09-25-16-4
2.2,EC-1D-9<EC-2-08>,2016-09-25-16-5
2.7,EC-1D-9<EC-2-08>,2016-09-25-17-0
2.5,EC-1D-9<EC-2-08>,2016-09-25-17-1
2.5,EC-1D-9<EC-2-08>,2016-09-25-17-2
2.6,EC-1D-9<EC-2-08>,2016-09-25-17-3
2.7,EC-1D-9<EC-2-08>,2016-09-25-17-4
2.6,EC-1D-9<EC-2-08>,2016-09-25-17-5
8.8,EC-1G-1<EC-1-28>,2016-09-25-15-0
9.0,EC-1G-1<EC-1-28>,2016-09-25-15-1
9.2,EC-1G-1<EC-1-28>,2016-09-25-15-2
9.2,EC-1G-1<EC-1-28>,2016-09-25-15-3
9.8,EC-1G-1<EC-1-28>,2016-09-25-15-4
9.9,EC-1G-1<EC-1-28>,2016-09-25-15-5
9.6,EC-1G-1<EC-1-28>,2016-09-25-16-0
9.0,EC-1G-1<EC-1-28>,2016-09-25-16-1
9.0,EC-1G-1<EC-1-28>,2016-09-25-16-2
9.0,EC-1G-1<EC-1-28>,2016-09-25-16-3
10.6,EC-1G-1<EC-1-28>,2016-09-25-16-4
11.4,EC-1G-1<EC-1-28>,2016-09-25-16-5
11.2,EC-1G-1<EC-1-28>,2016-09-25-17-0
11.3,EC-1G-1<EC-1-28>,2016-09-25-17-1
11.7,EC-1G-1<EC-1-28>,2016-09-25-17-2
11.3,EC-1G-1<EC-1-28>,2016-09-25-17-3
11.4,EC-1G-1<EC-1-28>,2016-09-25-17-4
11.7,EC-1G-1<EC-1-28>,2016-09-25-17-5
21.3,EC-1G-2<EC-1-25>,2016-09-25-15-0
20.7,EC-1G-2<EC-1-25>,2016-09-25-15-1
20.4,EC-1G-2<EC-1-25>,2016-09-25-15-2
20.9,EC-1G-2<EC-1-25>,2016-09-25-15-3
21.5,EC-1G-2<EC-1-25>,2016-09-25-15-4
23.0,EC-1G-2<EC-1-25>,2016-09-25-15-5
25.0,EC-1G-2<EC-1-25>,2016-09-25-16-0
27.8,EC-1G-2<EC-1-25>,2016-09-25-16-1
33.0,EC-1G-2<EC-1-25>,2016-09-25-16-2
40.0,EC-1G-2<EC-1-25>,2016-09-25-16-3
43.4,EC-1G-2<EC-1-25>,2016-09-25-16-4
42.9,EC-1G-2<EC-1-25>,2016-09-25-16-5
42.9,EC-1G-2<EC-1-25>,2016-09-25-17-0
46.4,EC-1G-2<EC-1-25>,2016-09-25-17-1
46.8,EC-1G-2<EC-1-25>,2016-09-25-17-2
45.5,EC-1G-2<EC-1-25>,2016-09-25-17-3
42.1,EC-1G-2<EC-1-25>,2016-09-25-17-4
38.2,EC-1G-2<EC-1-25>,2016-09-25-17-5
1.1,EC-1G-3<EC-1-29>,2016-09-25-15-0
1.2,EC-1G-3<EC-1-29>,2016-09-25-15-1
1.0,EC-1G-3<EC-1-29>,2016-09-25-15-2
1.0,EC-1G-3<EC-1-29>,2016-09-25-15-3
1.2,EC-1G-3<EC-1-29>,2016-09-25-15-4
1.0,EC-1G-3<EC-1-29>,2016-09-25-15-5
1.1,EC-1G-3<EC-1-29>,2016-09-25-16-0
1.2,EC-1G-3<EC-1-29>,2016-09-25-16-1
1.0,EC-1G-3<EC-1-29>,2016-09-25-16-2
0.9,EC-1G-3<EC-1-29>,2016-09-25-16-3
0.9,EC-1G-3<EC-1-29>,2016-09-25-16-4
0.7,EC-1G-3<EC-1-29>,2016-09-25-16-5
0.8,EC-1G-3<EC-1-29>,2016-09-25-17-0
0.8,EC-1G-3<EC-1-29>,2016-09-25-17-1
0.9,EC-1G-3<EC-1-29>,2016-09-25-17-2
0.8,EC-1G-3<EC-1-29>,2016-09-25-17-3
0.8,EC-1G-3<EC-1-29>,2016-09-25-17-4
0.7,EC-1G-3<EC-1-29>,2016-09-25-17-5
3.2,EC-1G-4<EC-1-30>,2016-09-25-15-0
2.9,EC-1G-4<EC-1-30>,2016-09-25-15-1
2.8,EC-1G-4<EC-1-30>,2016-09-25-15-2
2.6,EC-1G-4<EC-1-30>,2016-09-25-15-3
2.6,EC-1G-4<EC-1-30>,2016-09-25-15-4
2.5,EC-1G-4<EC-1-30>,2016-09-25-15-5
2.4,EC-1G-4<EC-1-30>,2016-09-25-16-0
2.3,EC-1G-4<EC-1-30>,2016-09-25-16-1
2.2,EC-1G-4<EC-1-30>,2016-09-25-16-2
2.2,EC-1G-4<EC-1-30>,2016-09-25-16-3
2.0,EC-1G-4<EC-1-30>,2016-09-25-16-4
2.0,EC-1G-4<EC-1-30>,2016-09-25-16-5
1.8,EC-1G-4<EC-1-30>,2016-09-25-17-0
1.9,EC-1G-4<EC-1-30>,2016-09-25-17-1
2.0,EC-1G-4<EC-1-30>,2016-09-25-17-2
2.2,EC-1G-4<EC-1-30>,2016-09-25-17-3
2.1,EC-1G-4<EC-1-30>,2016-09-25-17-4
2.0,EC-1G-4<EC-1-30>,2016-09-25-17-5
0.0,EC-1I<EC-1I-02>,2016-09-25-15-0
0.0,EC-1I<EC-1I-02>,2016-09-25-15-1
0.0,EC-1I<EC-1I-02>,2016-09-25-15-2
0.0,EC-1I<EC-1I-02>,2016-09-25-15-3
0.0,EC-1I<EC-1I-02>,2016-09-25-15-4
0.0,EC-1I<EC-1I-02>,2016-09-25-15-5
0.0,EC-1I<EC-1I-02>,2016-09-25-16-0
0.0,EC-1I<EC-1I-02>,2016-09-25-16-1
0.0,EC-1I<EC-1I-02>,2016-09-25-16-2
0.0,EC-1I<EC-1I-02>,2016-09-25-16-3
0.0,EC-1I<EC-1I-02>,2016-09-25-16-4
0.0,EC-1I<EC-1I-02>,2016-09-25-16-5
0.0,EC-1I<EC-1I-02>,2016-09-25-17-0
0.0,EC-1I<EC-1I-02>,2016-09-25-17-1
0.0,EC-1I<EC-1I-02>,2016-09-25-17-2
0.0,EC-1I<EC-1I-02>,2016-09-25-17-3
0.0,EC-1I<EC-1I-02>,2016-09-25-17-4
0.0,EC-1I<EC-1I-02>,2016-09-25-17-5
0.0,EC-1I<EC-1I-03>,2016-09-25-15-0
0.1,EC-1I<EC-1I-03>,2016-09-25-15-1
0.0,EC-1I<EC-1I-03>,2016-09-25-15-2
0.1,EC-1I<EC-1I-03>,2016-09-25-15-3
0.0,EC-1I<EC-1I-03>,2016-09-25-15-4
0.0,EC-1I<EC-1I-03>,2016-09-25-15-5
0.1,EC-1I<EC-1I-03>,2016-09-25-16-0
0.0,EC-1I<EC-1I-03>,2016-09-25-16-1
0.0,EC-1I<EC-1I-03>,2016-09-25-16-2
0.0,EC-1I<EC-1I-03>,2016-09-25-16-3
0.0,EC-1I<EC-1I-03>,2016-09-25-16-4
0.0,EC-1I<EC-1I-03>,2016-09-25-16-5
0.1,EC-1I<EC-1I-03>,2016-09-25-17-0
0.0,EC-1I<EC-1I-03>,2016-09-25-17-1
0.0,EC-1I<EC-1I-03>,2016-09-25-17-2
0.0,EC-1I<EC-1I-03>,2016-09-25-17-3
0.0,EC-1I<EC-1I-03>,2016-09-25-17-4
0.0,EC-1I<EC-1I-03>,2016-09-25-17-5
0.4,EC-1I<EC-1I-04>,2016-09-25-15-0
0.5,EC-1I<EC-1I-04>,2016-09-25-15-1
0.4,EC-1I<EC-1I-04>,2016-09-25-15-2
0.5,EC-1I<EC-1I-04>,2016-09-25-15-3
0.4,EC-1I<EC-1I-04>,2016-09-25-15-4
0.3,EC-1I<EC-1I-04>,2016-09-25-15-5
0.4,EC-1I<EC-1I-04>,2016-09-25-16-0
0.3,EC-1I<EC-1I-04>,2016-09-25-16-1
0.4,EC-1I<EC-1I-04>,2016-09-25-16-2
0.4,EC-1I<EC-1I-04>,2016-09-25-16-3
0.5,EC-1I<EC-1I-04>,2016-09-25-16-4
0.5,EC-1I<EC-1I-04>,2016-09-25-16-5
0.5,EC-1I<EC-1I-04>,2016-09-25-17-0
0.5,EC-1I<EC-1I-04>,2016-09-25-17-1
0.4,EC-1I<EC-1I-04>,2016-09-25-17-2
0.4,EC-1I<EC-1I-04>,2016-09-25-17-3
0.4,EC-1I<EC-1I-04>,2016-09-25-17-4
0.4,EC-1I<EC-1I-04>,2016-09-25-17-5
0.2,EC-1I<EC-1I-05>,2016-09-25-15-0
0.3,EC-1I<EC-1I-05>,2016-09-25-15-1
0.2,EC-1I<EC-1I-05>,2016-09-25-15-2
0.3,EC-1I<EC-1I-05>,2016-09-25-15-3
0.3,EC-1I<EC-1I-05>,2016-09-25-15-4
0.2,EC-1I<EC-1I-05>,2016-09-25-15-5
0.3,EC-1I<EC-1I-05>,2016-09-25-16-0
0.3,EC-1I<EC-1I-05>,2016-09-25-16-1
0.3,EC-1I<EC-1I-05>,2016-09-25-16-2
0.4,EC-1I<EC-1I-05>,2016-09-25-16-3
0.3,EC-1I<EC-1I-05>,2016-09-25-16-4
0.2,EC-1I<EC-1I-05>,2016-09-25-16-5
0.2,EC-1I<EC-1I-05>,2016-09-25-17-0
0.2,EC-1I<EC-1I-05>,2016-09-25-17-1
0.2,EC-1I<EC-1I-05>,2016-09-25-17-2
0.1,EC-1I<EC-1I-05>,2016-09-25-17-3
0.2,EC-1I<EC-1I-05>,2016-09-25-17-4
0.2,EC-1I<EC-1I-05>,2016-09-25-17-5
0.0,EC-1I<EC-1I-06>,2016-09-25-15-0
0.0,EC-1I<EC-1I-06>,2016-09-25-15-1
0.0,EC-1I<EC-1I-06>,2016-09-25-15-2
0.0,EC-1I<EC-1I-06>,2016-09-25-15-3
0.0,EC-1I<EC-1I-06>,2016-09-25-15-4
0.0,EC-1I<EC-1I-06>,2016-09-25-15-5
0.0,EC-1I<EC-1I-06>,2016-09-25-16-0
0.0,EC-1I<EC-1I-06>,2016-09-25-16-1
0.0,EC-1I<EC-1I-06>,2016-09-25-16-2
0.0,EC-1I<EC-1I-06>,2016-09-25-16-3
0.0,EC-1I<EC-1I-06>,2016-09-25-16-4
0.0,EC-1I<EC-1I-06>,2016-09-25-16-5
0.1,EC-1I<EC-1I-06>,2016-09-25-17-0
0.0,EC-1I<EC-1I-06>,2016-09-25-17-1
0.0,EC-1I<EC-1I-06>,2016-09-25-17-2
0.0,EC-1I<EC-1I-06>,2016-09-25-17-3
0.0,EC-1I<EC-1I-06>,2016-09-25-17-4
0.0,EC-1I<EC-1I-06>,2016-09-25-17-5
0.2,EC-1I<EC-1I-07>,2016-09-25-15-0
0.3,EC-1I<EC-1I-07>,2016-09-25-15-1
0.3,EC-1I<EC-1I-07>,2016-09-25-15-2
0.2,EC-1I<EC-1I-07>,2016-09-25-15-3
0.3,EC-1I<EC-1I-07>,2016-09-25-15-4
0.2,EC-1I<EC-1I-07>,2016-09-25-15-5
0.2,EC-1I<EC-1I-07>,2016-09-25-16-0
0.2,EC-1I<EC-1I-07>,2016-09-25-16-1
0.2,EC-1I<EC-1I-07>,2016-09-25-16-2
0.3,EC-1I<EC-1I-07>,2016-09-25-16-3
0.2,EC-1I<EC-1I-07>,2016-09-25-16-4
0.2,EC-1I<EC-1I-07>,2016-09-25-16-5
0.2,EC-1I<EC-1I-07>,2016-09-25-17-0
0.2,EC-1I<EC-1I-07>,2016-09-25-17-1
0.2,EC-1I<EC-1I-07>,2016-09-25-17-2
0.2,EC-1I<EC-1I-07>,2016-09-25-17-3
0.2,EC-1I<EC-1I-07>,2016-09-25-17-4
0.2,EC-1I<EC-1I-07>,2016-09-25-17-5
3.5,EC-1I<EC-1I-08>,2016-09-25-15-0
3.6,EC-1I<EC-1I-08>,2016-09-25-15-1
3.2,EC-1I<EC-1I-08>,2016-09-25-15-2
3.3,EC-1I<EC-1I-08>,2016-09-25-15-3
2.9,EC-1I<EC-1I-08>,2016-09-25-15-4
2.7,EC-1I<EC-1I-08>,2016-09-25-15-5
2.8,EC-1I<EC-1I-08>,2016-09-25-16-0
2.7,EC-1I<EC-1I-08>,2016-09-25-16-1
2.6,EC-1I<EC-1I-08>,2016-09-25-16-2
2.7,EC-1I<EC-1I-08>,2016-09-25-16-3
2.9,EC-1I<EC-1I-08>,2016-09-25-16-4
2.9,EC-1I<EC-1I-08>,2016-09-25-16-5
2.8,EC-1I<EC-1I-08>,2016-09-25-17-0
2.8,EC-1I<EC-1I-08>,2016-09-25-17-1
2.8,EC-1I<EC-1I-08>,2016-09-25-17-2
2.8,EC-1I<EC-1I-08>,2016-09-25-17-3
2.8,EC-1I<EC-1I-08>,2016-09-25-17-4
2.7,EC-1I<EC-1I-08>,2016-09-25-17-5
0.1,EC-1I<EC-1I-09>,2016-09-25-15-0
0.2,EC-1I<EC-1I-09>,2016-09-25-15-1
0.0,EC-1I<EC-1I-09>,2016-09-25-15-2
0.2,EC-1I<EC-1I-09>,2016-09-25-15-3
0.0,EC-1I<EC-1I-09>,2016-09-25-15-4
0.0,EC-1I<EC-1I-09>,2016-09-25-15-5
0.1,EC-1I<EC-1I-09>,2016-09-25-16-0
0.0,EC-1I<EC-1I-09>,2016-09-25-16-1
0.0,EC-1I<EC-1I-09>,2016-09-25-16-2
0.0,EC-1I<EC-1I-09>,2016-09-25-16-3
0.0,EC-1I<EC-1I-09>,2016-09-25-16-4
0.0,EC-1I<EC-1I-09>,2016-09-25-16-5
0.2,EC-1I<EC-1I-09>,2016-09-25-17-0
0.0,EC-1I<EC-1I-09>,2016-09-25-17-1
0.0,EC-1I<EC-1I-09>,2016-09-25-17-2
0.0,EC-1I<EC-1I-09>,2016-09-25-17-3
0.0,EC-1I<EC-1I-09>,2016-09-25-17-4
0.0,EC-1I<EC-1I-09>,2016-09-25-17-5
2.0,EC-1I<EC-1I-10>,2016-09-25-15-0
2.0,EC-1I<EC-1I-10>,2016-09-25-15-1
1.9,EC-1I<EC-1I-10>,2016-09-25-15-2
1.7,EC-1I<EC-1I-10>,2016-09-25-15-3
1.5,EC-1I<EC-1I-10>,2016-09-25-15-4
1.4,EC-1I<EC-1I-10>,2016-09-25-15-5
1.6,EC-1I<EC-1I-10>,2016-09-25-16-0
1.6,EC-1I<EC-1I-10>,2016-09-25-16-1
1.6,EC-1I<EC-1I-10>,2016-09-25-16-2
1.5,EC-1I<EC-1I-10>,2016-09-25-16-3
1.5,EC-1I<EC-1I-10>,2016-09-25-16-4
1.5,EC-1I<EC-1I-10>,2016-09-25-16-5
1.8,EC-1I<EC-1I-10>,2016-09-25-17-0
1.8,EC-1I<EC-1I-10>,2016-09-25-17-1
1.8,EC-1I<EC-1I-10>,2016-09-25-17-2
1.5,EC-1I<EC-1I-10>,2016-09-25-17-3
1.7,EC-1I<EC-1I-10>,2016-09-25-17-4
1.9,EC-1I<EC-1I-10>,2016-09-25-17-5
0.5,EC-1I<EC-1I-11>,2016-09-25-15-0
0.4,EC-1I<EC-1I-11>,2016-09-25-15-1
0.4,EC-1I<EC-1I-11>,2016-09-25-15-2
0.4,EC-1I<EC-1I-11>,2016-09-25-15-3
0.4,EC-1I<EC-1I-11>,2016-09-25-15-4
0.4,EC-1I<EC-1I-11>,2016-09-25-15-5
0.3,EC-1I<EC-1I-11>,2016-09-25-16-0
0.3,EC-1I<EC-1I-11>,2016-09-25-16-1
0.3,EC-1I<EC-1I-11>,2016-09-25-16-2
0.3,EC-1I<EC-1I-11>,2016-09-25-16-3
0.4,EC-1I<EC-1I-11>,2016-09-25-16-4
0.4,EC-1I<EC-1I-11>,2016-09-25-16-5
0.4,EC-1I<EC-1I-11>,2016-09-25-17-0
0.3,EC-1I<EC-1I-11>,2016-09-25-17-1
0.4,EC-1I<EC-1I-11>,2016-09-25-17-2
0.4,EC-1I<EC-1I-11>,2016-09-25-17-3
0.3,EC-1I<EC-1I-11>,2016-09-25-17-4
0.3,EC-1I<EC-1I-11>,2016-09-25-17-5
1.6,EC-1I<EC-1I-12>,2016-09-25-15-0
1.4,EC-1I<EC-1I-12>,2016-09-25-15-1
1.4,EC-1I<EC-1I-12>,2016-09-25-15-2
1.4,EC-1I<EC-1I-12>,2016-09-25-15-3
1.4,EC-1I<EC-1I-12>,2016-09-25-15-4
1.3,EC-1I<EC-1I-12>,2016-09-25-15-5
1.5,EC-1I<EC-1I-12>,2016-09-25-16-0
1.4,EC-1I<EC-1I-12>,2016-09-25-16-1
1.5,EC-1I<EC-1I-12>,2016-09-25-16-2
1.5,EC-1I<EC-1I-12>,2016-09-25-16-3
1.4,EC-1I<EC-1I-12>,2016-09-25-16-4
1.4,EC-1I<EC-1I-12>,2016-09-25-16-5
1.5,EC-1I<EC-1I-12>,2016-09-25-17-0
1.4,EC-1I<EC-1I-12>,2016-09-25-17-1
1.5,EC-1I<EC-1I-12>,2016-09-25-17-2
1.4,EC-1I<EC-1I-12>,2016-09-25-17-3
1.1,EC-1I<EC-1I-12>,2016-09-25-17-4
1.3,EC-1I<EC-1I-12>,2016-09-25-17-5
0.5,EC-1I<EC-1I-13>,2016-09-25-15-0
0.4,EC-1I<EC-1I-13>,2016-09-25-15-1
0.3,EC-1I<EC-1I-13>,2016-09-25-15-2
0.5,EC-1I<EC-1I-13>,2016-09-25-15-3
0.5,EC-1I<EC-1I-13>,2016-09-25-15-4
0.5,EC-1I<EC-1I-13>,2016-09-25-15-5
0.5,EC-1I<EC-1I-13>,2016-09-25-16-0
0.5,EC-1I<EC-1I-13>,2016-09-25-16-1
0.4,EC-1I<EC-1I-13>,2016-09-25-16-2
0.4,EC-1I<EC-1I-13>,2016-09-25-16-3
0.4,EC-1I<EC-1I-13>,2016-09-25-16-4
0.5,EC-1I<EC-1I-13>,2016-09-25-16-5
0.7,EC-1I<EC-1I-13>,2016-09-25-17-0
0.6,EC-1I<EC-1I-13>,2016-09-25-17-1
0.6,EC-1I<EC-1I-13>,2016-09-25-17-2
0.7,EC-1I<EC-1I-13>,2016-09-25-17-3
0.6,EC-1I<EC-1I-13>,2016-09-25-17-4
0.6,EC-1I<EC-1I-13>,2016-09-25-17-5
2.6,EC-1I<EC-1I-14>,2016-09-25-15-0
2.6,EC-1I<EC-1I-14>,2016-09-25-15-1
2.0,EC-1I<EC-1I-14>,2016-09-25-15-2
1.7,EC-1I<EC-1I-14>,2016-09-25-15-3
1.7,EC-1I<EC-1I-14>,2016-09-25-15-4
1.7,EC-1I<EC-1I-14>,2016-09-25-15-5
1.8,EC-1I<EC-1I-14>,2016-09-25-16-0
1.9,EC-1I<EC-1I-14>,2016-09-25-16-1
1.8,EC-1I<EC-1I-14>,2016-09-25-16-2
1.8,EC-1I<EC-1I-14>,2016-09-25-16-3
2.0,EC-1I<EC-1I-14>,2016-09-25-16-4
1.8,EC-1I<EC-1I-14>,2016-09-25-16-5
2.2,EC-1I<EC-1I-14>,2016-09-25-17-0
2.3,EC-1I<EC-1I-14>,2016-09-25-17-1
2.2,EC-1I<EC-1I-14>,2016-09-25-17-2
2.4,EC-1I<EC-1I-14>,2016-09-25-17-3
1.9,EC-1I<EC-1I-14>,2016-09-25-17-4
1.7,EC-1I<EC-1I-14>,2016-09-25-17-5
1.7,EC-1I<EC-1I-15>,2016-09-25-15-0
1.6,EC-1I<EC-1I-15>,2016-09-25-15-1
1.7,EC-1I<EC-1I-15>,2016-09-25-15-2
1.7,EC-1I<EC-1I-15>,2016-09-25-15-3
1.8,EC-1I<EC-1I-15>,2016-09-25-15-4
1.8,EC-1I<EC-1I-15>,2016-09-25-15-5
1.7,EC-1I<EC-1I-15>,2016-09-25-16-0
1.6,EC-1I<EC-1I-15>,2016-09-25-16-1
1.6,EC-1I<EC-1I-15>,2016-09-25-16-2
1.7,EC-1I<EC-1I-15>,2016-09-25-16-3
1.5,EC-1I<EC-1I-15>,2016-09-25-16-4
1.5,EC-1I<EC-1I-15>,2016-09-25-16-5
1.5,EC-1I<EC-1I-15>,2016-09-25-17-0
1.4,EC-1I<EC-1I-15>,2016-09-25-17-1
1.3,EC-1I<EC-1I-15>,2016-09-25-17-2
1.5,EC-1I<EC-1I-15>,2016-09-25-17-3
1.4,EC-1I<EC-1I-15>,2016-09-25-17-4
1.4,EC-1I<EC-1I-15>,2016-09-25-17-5
2.3,EC-1I<EC-1I-1>,2016-09-25-15-0
2.8,EC-1I<EC-1I-1>,2016-09-25-15-1
2.1,EC-1I<EC-1I-1>,2016-09-25-15-2
2.0,EC-1I<EC-1I-1>,2016-09-25-15-3
2.0,EC-1I<EC-1I-1>,2016-09-25-15-4
2.0,EC-1I<EC-1I-1>,2016-09-25-15-5
2.2,EC-1I<EC-1I-1>,2016-09-25-16-0
2.1,EC-1I<EC-1I-1>,2016-09-25-16-1
2.1,EC-1I<EC-1I-1>,2016-09-25-16-2
1.8,EC-1I<EC-1I-1>,2016-09-25-16-3
1.8,EC-1I<EC-1I-1>,2016-09-25-16-4
1.8,EC-1I<EC-1I-1>,2016-09-25-16-5
1.8,EC-1I<EC-1I-1>,2016-09-25-17-0
1.9,EC-1I<EC-1I-1>,2016-09-25-17-1
2.0,EC-1I<EC-1I-1>,2016-09-25-17-2
2.0,EC-1I<EC-1I-1>,2016-09-25-17-3
2.2,EC-1I<EC-1I-1>,2016-09-25-17-4
2.3,EC-1I<EC-1I-1>,2016-09-25-17-5
1.9,EC-2-07<EC-1D-10>,2016-09-25-15-0
1.9,EC-2-07<EC-1D-10>,2016-09-25-15-1
2.0,EC-2-07<EC-1D-10>,2016-09-25-15-2
1.9,EC-2-07<EC-1D-10>,2016-09-25-15-3
2.0,EC-2-07<EC-1D-10>,2016-09-25-15-4
2.4,EC-2-07<EC-1D-10>,2016-09-25-15-5
2.6,EC-2-07<EC-1D-10>,2016-09-25-16-0
2.3,EC-2-07<EC-1D-10>,2016-09-25-16-1
2.1,EC-2-07<EC-1D-10>,2016-09-25-16-2
2.1,EC-2-07<EC-1D-10>,2016-09-25-16-3
1.9,EC-2-07<EC-1D-10>,2016-09-25-16-4
1.9,EC-2-07<EC-1D-10>,2016-09-25-16-5
1.9,EC-2-07<EC-1D-10>,2016-09-25-17-0
2.1,EC-2-07<EC-1D-10>,2016-09-25-17-1
2.3,EC-2-07<EC-1D-10>,2016-09-25-17-2
2.2,EC-2-07<EC-1D-10>,2016-09-25-17-3
2.5,EC-2-07<EC-1D-10>,2016-09-25-17-4
2.4,EC-2-07<EC-1D-10>,2016-09-25-17-5
2.0,EC-2-19<EC-2C-6>,2016-09-25-15-0
2.2,EC-2-19<EC-2C-6>,2016-09-25-15-1
1.9,EC-2-19<EC-2C-6>,2016-09-25-15-2
1.9,EC-2-19<EC-2C-6>,2016-09-25-15-3
2.0,EC-2-19<EC-2C-6>,2016-09-25-15-4
2.0,EC-2-19<EC-2C-6>,2016-09-25-15-5
1.9,EC-2-19<EC-2C-6>,2016-09-25-16-0
2.1,EC-2-19<EC-2C-6>,2016-09-25-16-1
1.9,EC-2-19<EC-2C-6>,2016-09-25-16-2
1.8,EC-2-19<EC-2C-6>,2016-09-25-16-3
1.8,EC-2-19<EC-2C-6>,2016-09-25-16-4
1.8,EC-2-19<EC-2C-6>,2016-09-25-16-5
1.9,EC-2-19<EC-2C-6>,2016-09-25-17-0
1.9,EC-2-19<EC-2C-6>,2016-09-25-17-1
2.0,EC-2-19<EC-2C-6>,2016-09-25-17-2
1.8,EC-2-19<EC-2C-6>,2016-09-25-17-3
2.0,EC-2-19<EC-2C-6>,2016-09-25-17-4
2.0,EC-2-19<EC-2C-6>,2016-09-25-17-5
17.2,EC-2A-1<EC-2-01>,2016-09-25-15-0
17.2,EC-2A-1<EC-2-01>,2016-09-25-15-1
16.9,EC-2A-1<EC-2-01>,2016-09-25-15-2
16.6,EC-2A-1<EC-2-01>,2016-09-25-15-3
17.6,EC-2A-1<EC-2-01>,2016-09-25-15-4
18.6,EC-2A-1<EC-2-01>,2016-09-25-15-5
19.6,EC-2A-1<EC-2-01>,2016-09-25-16-0
18.7,EC-2A-1<EC-2-01>,2016-09-25-16-1
18.2,EC-2A-1<EC-2-01>,2016-09-25-16-2
18.9,EC-2A-1<EC-2-01>,2016-09-25-16-3
19.9,EC-2A-1<EC-2-01>,2016-09-25-16-4
20.3,EC-2A-1<EC-2-01>,2016-09-25-16-5
21.1,EC-2A-1<EC-2-01>,2016-09-25-17-0
22.7,EC-2A-1<EC-2-01>,2016-09-25-17-1
23.2,EC-2A-1<EC-2-01>,2016-09-25-17-2
23.6,EC-2A-1<EC-2-01>,2016-09-25-17-3
23.7,EC-2A-1<EC-2-01>,2016-09-25-17-4
23.6,EC-2A-1<EC-2-01>,2016-09-25-17-5
15.7,EC-2A-2<EC-2-02>,2016-09-25-15-0
15.1,EC-2A-2<EC-2-02>,2016-09-25-15-1
14.7,EC-2A-2<EC-2-02>,2016-09-25-15-2
15.5,EC-2A-2<EC-2-02>,2016-09-25-15-3
15.9,EC-2A-2<EC-2-02>,2016-09-25-15-4
16.3,EC-2A-2<EC-2-02>,2016-09-25-15-5
17.6,EC-2A-2<EC-2-02>,2016-09-25-16-0
17.9,EC-2A-2<EC-2-02>,2016-09-25-16-1
18.2,EC-2A-2<EC-2-02>,2016-09-25-16-2
17.2,EC-2A-2<EC-2-02>,2016-09-25-16-3
16.4,EC-2A-2<EC-2-02>,2016-09-25-16-4
15.5,EC-2A-2<EC-2-02>,2016-09-25-16-5
15.5,EC-2A-2<EC-2-02>,2016-09-25-17-0
15.3,EC-2A-2<EC-2-02>,2016-09-25-17-1
15.5,EC-2A-2<EC-2-02>,2016-09-25-17-2
16.1,EC-2A-2<EC-2-02>,2016-09-25-17-3
16.2,EC-2A-2<EC-2-02>,2016-09-25-17-4
16.3,EC-2A-2<EC-2-02>,2016-09-25-17-5
50.2,EC-2A-3<EC-2-03>,2016-09-25-15-0
49.1,EC-2A-3<EC-2-03>,2016-09-25-15-1
50.7,EC-2A-3<EC-2-03>,2016-09-25-15-2
53.0,EC-2A-3<EC-2-03>,2016-09-25-15-3
55.2,EC-2A-3<EC-2-03>,2016-09-25-15-4
56.3,EC-2A-3<EC-2-03>,2016-09-25-15-5
55.0,EC-2A-3<EC-2-03>,2016-09-25-16-0
53.8,EC-2A-3<EC-2-03>,2016-09-25-16-1
50.7,EC-2A-3<EC-2-03>,2016-09-25-16-2
49.4,EC-2A-3<EC-2-03>,2016-09-25-16-3
46.7,EC-2A-3<EC-2-03>,2016-09-25-16-4
42.1,EC-2A-3<EC-2-03>,2016-09-25-16-5
40.6,EC-2A-3<EC-2-03>,2016-09-25-17-0
39.6,EC-2A-3<EC-2-03>,2016-09-25-17-1
39.7,EC-2A-3<EC-2-03>,2016-09-25-17-2
